fund_name,company,activity,activity_original,translation_check
Seaya,Clarity AI,Plataforma SaaS for evaluación of impacto social and ambiental of inversiones,Plataforma SaaS para evaluación de impacto social y ambiental de inversiones,review
Suma Capital,CLCircular,"IoT, transporte larga distancia","IoT, transporte larga distancia",ok
Tresmares Capital,Clínica Tambre,Fertility clinic,Clínica de fertilidad,ok
Cantabria Capital,Cloud it (Softec Internet),Consultoría informática,Consultoría informática,review
MCH Private Equity Investments,Cloverty,Manufacturer of products pharmaceutical in cápsulas of gelatina blanda,Fabricante de products farmacéuticos en cápsulas de gelatina blanda,review
Athos Capital,Club clinico,Marketplace (b2b) of aprovisionamientos dentales,Marketplace (b2b) de aprovisionamientos dentales,ok
"Murcia Emprende, S.C.R., S.A.",CLUPIK SL,Plataforma and app for management of eventos sportss,Plataforma y app para gestión de eventos sportss,ok
Clave Mayor,"Coalza Systems, S.L.",Design and manufacturing of high-performance packaging machinery,Diseño y manufacturing de maquinaria de envasado de altas prestaciones,ok
Fundación Ship2B,Cocoli Clima,Venta furniture segunda mano,Venta furniture segunda mano,review
Swanlaab Venture Factory,Codee,Automated Code Testing,Automated Code Testing,ok
Fundación Ship2B,Codely Tech,Education (reducción GAP STEM género),Education (reducción GAP STEM género),review
True Global Ventures,Coinhouse,Plataforma activos digitales,Plataforma activos digitales,ok
EDP Ventures España,Colab,Management colaborativa ciudadana,Gestión colaborativa ciudadana,ok
Ona Capital Privat,Colvin,E-Commerce,E-Commerce,ok
Oquendo Capital,Comess,Organized Restaurants,Organized Restaurants,ok
Buenavista Equity Partners,Comess Group,Restaurants,Restaurants,ok
Kartesia,Comfica,"Construction, installation and maintenance of telecommunications networks","Construction, instalación y maintenance de redes de telecommunications",ok
Kartesia,Compañía del Trópico,Restaurant chain,Chain de restaurants,ok
Prosegur Tech Ventures,Concil (Brasil),Fintech: Reconciliación of cobros in sector retail,Fintech: Reconciliación de cobros en sector retail,review
Portobello Capital Gestión,Condis,Neighborhood supermarket chain,Chain de supermercados de proximidad,ok
GAEA Inversión,Conexus Networks,Principal grid/network mayorista of optical fiber of the norte of Spain,Principal red mayorista de fibra óptica del norte de Spain,ok
Cardumen Capital,CONFIGU,Developer tools,Developer tools,ok
Adara Ventures,Constella,Cybersecurity,Cybersecurity,ok
Demeter Investment Managers,Construcia,Construction circular,Construction circular,ok
Portobello Capital Gestión,Controlauto,Operador of inspección técnica of vehículos (ITV),Operador de inspección técnica de vehículos (ITV),review
Cardumen Capital,CONVRT,Big data Analytics,Big Data Analytics,ok
Torsa Capital,Coonic,Communications agency,Agencia de comunicación,ok
Gawa Capital Partners,Coopac Norandino,Agro Microlending,Agro Microlending,ok
Swanlaab Venture Factory,Coowry Limited,Fintech,Fintech,ok
GAEA Inversión,Copérnico,Grid/network of optical fiber FTTH,Red de fibra óptica FTTH,ok
Cardumen Capital,CORETIGO,IOT,IOT,ok
Clave Mayor,Corify Care SL,Device to non-invasively detect atrial fibrillation,Dispositivo para desenmascarar la fibrilación auricular de forma no invasiva,ok
Ysios Capital Partners,CorWave,Development of a medical device for heart failure,Desarrollo de un dispositivo médico para el fallo cardiaco,ok
Adara Ventures,Councilbox,Legal Tech,Legal Tech,ok
Adara Ventures|Elewit,CounterCraft,Cybersecurity,Cybersecurity,ok
Demeter Investment Managers,Coursier.fr,Sustainable Mobility,Sustainable Mobility,ok
Sabadell Venture Capital,Coverfy,100% mobile insurance brokerage,Correduria de insurance 100% movil,ok
Sherpa Capital Entidad Gestora SGEIC,Crego e Monaguillo,Bodegas,Bodegas,ok
K Fund,Crescenta,Technology,Technology,ok
Gawa Capital Partners,Cresol Baser,Agro Microlending,Agro Microlending,ok
Ourcrowd Iberia,Cropx,Agriculture,Agriculture,ok
Neotec Capital Riesgo,Crossroad Biotech II,Biotech,Biotech,ok
Q-Impact|Seaya,Crowdfarming,Marketplace for conectar agricultores with clientes finales,Marketplace para conectar agricultores con clientes finales,ok
Riverside España Partners,Cryptomathic,Proveedor of solutions of servidores for insurance independientes of hardware,Proveedor de soluciones de servidores para insurance independientes de hardware,ok
Realza Capital,Cualin Quality,Tomato farming,Cultivo de tomates,ok
Demeter Investment Managers,Cuculus,Energy Efficiency,Energy Efficiency,ok
Bewater Asset Management,Cuidum,In-home personal care for elderly people,Careres personales a domicilio para personas ancianas,ok
Adara Ventures,Cyber Guru,Security Awareness & Training,Security Awareness & Training,ok
Gestión de Capital Riesgo del País Vasco,Cybersurgery,Bioingenieria,Bioingenieria,ok
Ourcrowd Iberia,CyberX,Cybersecurity,Cybersecurity,ok
Ysios Capital Partners,Cytoki Pharma,Treatment of diseases gastrointestinales,Tratamiento de enfermedades gastrointestinales,ok
Repsol Energy Ventures,DACMa,DAC,DAC,ok
Xesgalicia,"Dairylac, S.L.",Procesado and prepair of leche for su posterior commercialization,Procesado y preparación de leche para su posterior comercialización,ok
Acurio Ventures,DasLab,Infrastructure digital for pruebas of diagnosiss medical,Infrastructure digital para pruebas de diagnósticos médicos,ok
Riverside España Partners,Dastex,Proveedor of consumibles desechables/reutilizables for salas limpias,Proveedor de consumibles desechables/reutilizables para salas limpias,ok
Bewater Asset Management,Datos 101,Cloud backup,Copias de seguridad en la nube,ok
4Founders Capital,Dawa,Solution integral of devolución of comercio electrónico in fashion and technology,Solución integral de devolución de comercio electrónico en moda y technology,review
BeAble Capital,"Dawako Medtech, S.L.",Equipos of diágnostico médico,Equipos de diágnostico médico,review
Angels Capital,Dcycle,Software of medición of impacto ambiental and compensación huella of carbono,Software de medición de impacto ambiental y compensación huella de carbono,review
4Founders Capital,Dealcar,Platform for management for concesionarios of ocasión,Plataforma de gestión para concesionarios de ocasión,review
Neotec Capital Riesgo,Debaeque II FCR,ICT,ICT,ok
True Global Ventures,Dedoco,DMaaS: Document management as a service,DMaaS: Document Management as a service,ok
Samaipata,Deep Belief,AI technology,AI Technology,ok
Clave Mayor,Deep detection SL,Nueva generación of cámaras of rayos X,Nueva generación de cámaras de rayos X,review
Asabys Partners,Deepull Diagnostic,Development of culture-free solutions for sepsis and acute infections,Desarrollo de soluciones sin cultivo para sepsis e infecciones agudas,ok
EDP Ventures España,Defined AI,Training of algoritmos of AI and Machine Learning,Training de algoritmos de Artificial Intelligence y Machine Learning,ok
Proa Capital de Inversiones,Delafruit SL,Development and co-manufacturing of smoothies and juices in pouch and glass formats,Desarrollo y co-manufacturing de smoothies y zumos de pouch y vidrio,ok
EDP Ventures España,Delfos,Solution IA focused on the management optimizada of activos solares,Solución IA centrada en la gestión optimizada de activos solares,ok
Ona Capital Privat,Deliverea,Plataforma logistics,Plataforma logistics,ok
Neotec Capital Riesgo,Demeter 2 FCPR,Clean Tech,Clean Tech,ok
Alter Capital Desarrollo,Dental Company Center SL,Dental clinics,Clínicas dentales,ok
Bolsa Social,Dental Residency,Dental care for elderly people,Cares odontológicos para mayores,ok
Bewater Asset Management,Dentaltix,Proveedor online of products dentales,Proveedor online de products dentales,ok
CVC Capital Partners,Deoleo,Olive oil,Aceite de Oliva,ok
Sociedad para el Desarrollo Industryl de Castilla -La Mancha (SODICAMAN),Deraza Ibérico,Cárnica,Cárnica,review
Renertia Investment Company,"Desarrollo Proyecto Fotovoltaico I, S.L.",Photovoltaic power generation,Photovoltaic power generation,ok
Fundación Ship2B|Ona Capital Privat,Devicare,Medical devices,Medical devices,ok
Oquendo Capital|Buenavista Equity Partners,Discefa,Procesado of pulpo,Procesado de pulpo,ok
Unirisco,Diversa Technologies,Biotechnology - Drug discovery,Biotechnology - Drug discovery,ok
Bewater Asset Management,Docdigitizer,Software of digitalización of documentos,Software de digitalización de documentos,review
Cardumen Capital,DOCONTROL,Cybersecurity,Cybersecurity,ok
Vigo Activo,Docuten Tech SL,Firma and factura digital,Firma y factura digital,ok
"Oquendo Capital|Nazca Capital, S.G.E.I.C., S.A.",Doga,Industrial - solutions of movimiento electrónico,Industryl - Soluciones de movimiento electrónico,review
Sociedad Regional de Promoción del Principado de asturias (SRP),"Dogram Ingeniería de Documentación Tridimensional, S.L.",Ingeniería of medición and control dimensional by digitalización 3D,Ingeniería de medición y control dimensional por digitalización 3D,review
EDP Ventures España,DomRock,Operational efficiency through data capture,Eficiencia operativa a través de la captura del dato,ok
GVC Gaesco,Dribo Ventures,Autoescuela digital,Autoescuela Digital,ok
Enagás Emprende,DualMetha,Promoción of proyectos of production of biogas through waste,Promoción de proyectos de producción de biogas a través de residuos,review
Enagás Emprende,Ductor,Promoción of proyectos of production of biogás a partir of waste of gallinaza,Promoción de proyectos de producción de biogás a partir de residuos de gallinaza,review
Athos Capital,Duddyfit,Solution of productividad for profesionales of the fitness,Solución de productividad para profesionales del fitness,ok
K Fund,Durcal,Technology,Technology,ok
Sociedad de Desarrollo de Navarra (SODENA),Dynamobel,Design and manufacturing of office furniture and seating,Diseño y manufacturing de mobiliario y sillería de oficina,ok
Enagás Emprende,E4Efficiency,Sale of frío ecológico,Venta de frío ecológico,review
Neotec Capital Riesgo,EAF Spain - Fondo Isabel La Católica,Generalist,Generalist,ok
GVC Gaesco,eAgora,App for municipalities,App para ayuntamientos,ok
Bolsa Social,Ecodicta,Solution innovadora of rental of ropa,Solución innovadora de alquiler de ropa,ok
BeAble Capital,Ecogranular Technologies S.L.,Energy & Environment,Energy & Environment,ok
Clave Mayor,Ecomagnet SL,Manufacturing of polvo of imán,Manufacturing de polvo de imán,review
4Founders Capital,Ecostars,Hotel sustainability certification,Certificación de Sostenibilidad hotelera,ok
GPF Capital,Edificio Castellana 2,Real Estate - offices,Real Estate - Oficinas,ok
GPF Capital,Edificio Colon 1,Real Estate - offices,Real Estate - Oficinas,ok
Bolsa Social,Edificio Palleter,Construction sustainable,Construction sostenible,ok
Gawa Capital Partners,Edpyme Alternativa,Agro Microlending,Agro Microlending,ok
"Permira Asesores, S.L.U.",eDreams Odigeo,Online travel agency,Agencia de viajes on line,ok
Miura Partners,Educaedu,Plataforma educativa leader in formación continua and acceso al empleo,Plataforma educativa leader en formación continua y acceso al empleo,review
K Fund,Eesel,Technology,Technology,ok
Miura Partners,efectoLED,Online distribution of technical and decorative lighting products,Distribución online de products de iluminación técnica y decorativa,ok
Suma Capital,Efficiency & Environment Infrastructures II,Proyectos of energy efficiency for buildings industriales and comerciales,Proyectos de eficiencia energética para buildings industryles y comerciales,ok
EDP Ventures España,Effizency,Plataforma basada cloud for acelerar the ventas of services of energy,Plataforma basada en la nube para acelerar las ventas de services de energy,ok
Vigo Activo,Efitrans Global Logistics SL,Management integral of the logistics in medios of transporte polivalentes,Gestión integral de la logistics en medios de transporte polivalentes,ok
Xesgalicia,"Efitrans Global Logistics, S.L.",Design of logistics solutions,Diseño de soluciones logisticss,ok
DeA Capital Alternative Funds Sucursal España,EKAF,"Torrefactora, and cafés Cellini","Torrefactora, y cafés Cellini",review
Sociedad de Desarrollo de Navarra (SODENA),El Caserío,Premium artisanal quality candies,Caramelos premium artesanales y de calidad,ok
Corpfin Capital,El Fornet,Restaurants specialized,Restaurants especializada,ok
Bewater Asset Management,elAbogado,Obtención of leads cualificados for abogados,Obtención de leads cualificados para abogados,review
Neotec Capital Riesgo,Elaia,ICT,ICT,ok
Buenavista Equity Partners,Eliance,Aeronautics,Aeronáutica,ok
Oquendo Capital|Portobello Capital Gestión|Tikehau Investment Management (Sucursal en España),Elmubas,Manufacturer of comida of animales,Fabricante de comida de animales,ok
4Founders Capital,Embat,"Tesorería automatizada, eficiente and segura for equipos financial","Tesorería automatizada, eficiente y segura para equipos financieros",review
Axon Partners Group,Embention,Pilotos automáticos for drones.,Pilotos automáticos para drones.,review
Bolsa Social,Encantado de Comerte,Plataforma digital for reducir the desperdicio of comida.,Plataforma digital para reducir el desperdicio de comida.,ok
HCapital,Eneida,Solutions IoT of optimizacion of networks electricals of bajo voltaje,Soluciones IoT de optimizacion de redes eléctricas de bajo voltaje,ok
EIT Innoenergy,ENERGIOT,Self-powered devices for the IoT sector www.energiot.com,Dispositivos autoalimentados para el sector IoT www. energiot.com,ok
Tikehau Investment Management (Sucursal en España),"Energy, Environment & Sustainability (ENSO)",Platform for bioenergy integrada,Plataforma de bioenergy integrada,ok
EDP Ventures España,Energyworx,Data analytics focused on energy transition,Analítica de datos con foco en transición energética,ok
True Global Ventures,Enjinstarter,Web3 Launchpad,Web3 Launchpad,ok
Espiga Equity Partners,Enjoy Wellness,Management and promoción of centers sportss,Gestión y promoción de centers sportss,review
BeAble Capital,"Enlighting Technologies, S.L.",Development of smart lighting using LED technology,Desarrollo de la iluminación inteligente utilizando la technology LED,ok
GVC Gaesco,Enso Spaces,Co-living,Co-living,ok
Realza Capital,Entex,Tejido for colchón and home,Tejido para colchón y home,review
Ourcrowd Iberia,Enverid,Energy,Energy,ok
Torsa Capital,"Enxendra technologies, S.L.",ICT,ICT,ok
Samaipata,Eolas Medical,The platform for management of the conocimiento of artificial intelligence for the atención médica,La plataforma de gestión del conocimiento de inteligencia artificial para la atención médica,review
"Nazca Capital, S.G.E.I.C., S.A.",Eolos,Business Services - Offshore wind technology services,Business Services - Services de technology eólica marina,ok
Axon Partners Group,Erco,Proyectos of energy solar fotovoltaica.,Proyectos de energy solar fotovoltaica.,ok
Athos Capital,"Erudit AI, Inc",Herramiento of people analytics,Herramiento de people analytics,ok
Suma Capital,eSave,"SaaS, OCR","SaaS, OCR",ok
Sociedad Regional de Promoción del Principado de asturias (SRP),"Esnova Racks Software, S.L.",Tools informáticas of management of almacenes of the sector logístico,Herramientas informáticas de gestión de almacenes del sector logístico,review
Sociedad Regional de Promoción del Principado de asturias (SRP),"Esnova Racks, S.A.",Manufacturing and assembly of sistemas of almacenaje,Manufacturing y montaje de sistemas de almacenaje,ok
Institut Catalá  de Finances Capital (ICF),Especialitats M Masdeu SL,Industrial - Food & Beverage,Industryl - Food & Beverage,ok
Tresmares Capital,Espúblico,Platform for content jurídicos and económicos for Administraciones Públicas,Plataforma de contenidos jurídicos y económicos para Administraciones Públicas,review
Diana Capital,Estanda,Fab. Discos freno for trenes of alta velocidad,Fab. Discos freno para trenes de alta velocidad,ok
Buenavista Equity Partners,Eugin,Healthcare,Healthcare,ok
Portobello Capital Gestión,Eurocebollas,Ready-to-use onion ingredients and solutions,Ready-to-use onion ingredients and solutions,ok
Aurica Capital Desarrollo,Euroinnova Formación SL,Education,Education,ok
MCH Private Equity Investments,Europastry,Production and distribution of masas congeladas,Producción y distribución de masas congeladas,ok
Landon Investments,European Camping Group,Hospitality glampings,Hospitality glampings,ok
Buenavista Equity Partners,Evidenze,Healthcare,Healthcare,ok
Oquendo Capital|Portobello Capital Gestión,Evolutio,Services of telecommunications and solutions TIC for companies,Services de telecommunications y soluciones TIC para empresas,ok
Tresmares Capital,Exam Papers (UK),Recursos digitales educativos for prepair of exámenes,Recursos digitales educativos para preparación de exámenes,review
Landon Investments,Excelitas Technologies,Photonic technology components,Componentes de technology fotónica,ok
Kartesia,Excom,Operador of telecommunications in zonas rurales,Operador de telecommunications en zonas rurales,ok
CVC Capital Partners,Exolum,Infrastructure products petrolíferos,Infrastructure products petrolíferos,review
Sabadell Venture Capital,Exoticca,E-commerce specialist in long-haul trips to exotic destinations,E-commerce especialista en grandes viajes con destinos exóticos,ok
HIG Capital,Exterior Plus (Sistemas e Impursa),Publicidad Exterior,Publicidad Exterior,ok
Caixa Capital Risc,EXTRAICE SL,Industrial,Industryl,ok
HIG Capital,EYSA,Proveedor of solutions of smart mobility,Proveedor de soluciones de smart mobility,ok
Repsol Energy Ventures,Ezzing,Generación electrical renovable,Generación eléctrica renovable,review
Gawa Capital Partners,FACES,Agro Microlending,Agro Microlending,ok
Artá capital,Facundo,Snacks with marca propia,Snacks con marca propia,ok
Riverside España Partners,Fadata,Proveedor of software of insurance,Proveedor de software de insurance,ok
Xesgalicia,"Fandicosta, S.A.",Pesca and congelados,Pesca y congelados,ok
ABE Capital Partners,FANOX ELECTRONIC,Manufacturing of aparatos of distribution and control eléctrico,Manufacturing de aparatos de distribución y control eléctrico,review
MCH Private Equity Investments,Farmalíder,"Laboratorio farmacéutico of investigación, development and manufacturing","Laboratorio farmacéutico de investigación, desarrollo y manufacturing",review
Bolsa Social,Farmidable,Service home-based of products frescos km0,Service a domicilio de products frescos km0,ok
Portobello Capital Gestión,Farmol,Manufacturing of products of aerosol and líquidos,Manufacturing de products de aerosol y líquidos,review
Landon Investments,Faro Barcelona,Iluminación decorativa,Iluminación decorativa,review
Clave Mayor,Feedect Entogroup SL,Solutions alimentarias quality a base of insectos,Soluciones alimentarias de calidad a base de insectos,ok
EDP Ventures España,Feedzai,Solution IA for prevención of fraude in pagos,Solución IA para prevención de fraude en pagos,review
MCH Private Equity Investments,Fermax,Access control and connectivity,Control de accesos y conectividad,ok
Artá capital,Ferreira de Sa,Manufacturing of alfombras of luxury,Manufacturing de alfombras de lujo,ok
Tresmares Capital,Ferreira de Sa (PT),"Manufacturing of alfombras of luxury, as well as furniture and decoration","Manufacturing de alfombras de lujo, as well as mobiliario y decoration",ok
Xesgalicia,"Ferrol Container Terminal, S.A.",Transporte marítimo of contenedores,Transporte marítimo de contenedores,review
EIT Innoenergy,FERTIGHY,"Production of fertilizantes sin emisiones of CO2, a partir of hidrógeno verde.","Producción de fertilizantes sin emisiones de CO2, a partir de hidrógeno verde.",review
K Fund,Fetcher,Platform for reclutar candidatos,Plataforma para reclutar candidatos,ok
Ares Management,Fever,Technology,Technology,ok
Fundación Ship2B,Fiction Express,Education software to facilitate reading,Education (software para facilitar lectura),ok
"Nazca Capital, S.G.E.I.C., S.A.|Seaya",Filmin,Platform for cine streaming,Plataforma de cine streaming,ok
HIG Capital,Finangeste,Activos real estates,Activos Inmobiliarios,ok
Repsol Energy Ventures,Finboot,Integración of blockchain in software,Integración de blockchain en software,review
Gawa Capital Partners,Finexpar,Microfinance,Microfinance,ok
Axon Partners Group,Finizens,Fintech of inversión automatizada.,Fintech de inversión automatizada.,review
Samaipata,Fintecture,Payment institution,Entidad de pago,ok
Talde Gestión,Fire Piping (Private Equity),Manufacturing of estructuras metálicas and sus componentes,Manufacturing de estructuras metálicas y sus componentes,review
Sherpa Capital Entidad Gestora SGEIC,First Workplaces,Coworking,Coworking,ok
Clave Mayor,Fisify Technology SL,Fisioterapia digital,Fisioterapia digital,ok
Bewater Asset Management,Flame Analytics,Software for obtención and análisis of data of espacios retails,Software para obtención y análisis de datos de espacios retails,review
Sociedad Regional de Promoción del Principado de asturias (SRP),Flame Analytics S.L.,Medición and análisis of the comportamiento of clientes in the sector retail,Medición y análisis del comportamiento de clientes en el sector retail,review
Angels Capital,Flamingueo,E-commerce for trending products,E-commerce de products de tendencia,ok
4Founders Capital,Flanks,Saas que agrega the data financial for Wealth management,Saas que agrega los datos financieros para Wealth Management,ok
Aurica Capital Desarrollo,Flex Equipos de Descanso,Equipos of descanso,Equipos de descanso,ok
EIT Innoenergy,FLEXIDAO,Blockchain-based energy-origin certificates,Certificados de origen de la energy utilizando blockchain.,ok
Torsa Capital,Flipcloset,E-commerce,E-commerce,ok
Angels Capital,FlipFlow,"Herramienta of analítica of precios, catálogos and stocks online for companies","Herramienta de analítica de precios, catálogos y stocks online para empresas",review
Swanlaab Venture Factory,Flowww,Software for medicina aesthetics and Healthcare,Software para medicina aesthetics y Healthcare,ok
Adara Ventures,FLUZO,Advertising technology,Advertising Technology,ok
Samaipata,Flyfut,Software for ANALISTAS sportsS,SOFTWARE PARA ANALISTAS DEPORTIVOS,ok
Sabadell Venture Capital,Force Manager,CRM mobile,CRM móvil,ok
Sabadell Venture Capital,Force Manager,CRM mobile,CRM móvil,ok
ACON Investments,Formación Alcalá,Formación online for profesionales of the sector Healthcare and social,Formación online para profesionales del sector Healthcare y social,review
Tresmares Capital,Formaspack,"Solutions of envasado, reciclado and reciclable for the sector alimenticio","Soluciones de envasado, reciclado y reciclable para el sector alimenticio",ok
Tikehau Investment Management (Sucursal en España),Formecal,Precision machining for the aeronautical industry,Precision machining for the aeronautical industry,ok
"Sociedad para el Desarrollo de las Comarcas Mineras, S.A. (SODECO)",Fortia,Manufacturing of mascarillas,Manufacturing de mascarillas,ok
Fundación Ship2B,Fosanis,Healthcare (app relacionada afectados cancer),Healthcare (app relacionada afectados cáncer),ok
Renertia Investment Company,"Fotovoltaica del Este II, S.L.",Photovoltaic power generation,Photovoltaic power generation,ok
Renertia Investment Company,"Fotovoltaica del Este, S.L.",Photovoltaic power generation,Photovoltaic power generation,ok
Renertia Investment Company,Fotovoltaica Norte I S.L.,Photovoltaic power generation,Photovoltaic power generation,ok
Renertia Investment Company,Fotovoltaica Norte II S.L.,Photovoltaic power generation,Photovoltaic power generation,ok
Landon Investments,Fotowatio,Promotora of energys renewables,Promotora de energys renewables,ok
"Sociedad para el Desarrollo de las Comarcas Mineras, S.A. (SODECO)",Four Lions Beer,Manufacturing cerveza artesana,Manufacturing cerveza artesana,ok
Angels Capital,Fourvenues,Software of management for locales of ocio,Software de gestión para locales de ocio,ok
EDP Ventures España,Fractal,Technology predictiva to optimize the generación hidroelectrical,Technology predictiva para optimizar la generación hidroeléctrica,review
Seaya,Fracttal Tech,Solution SaaS CMMS and EAM for the centralización of inmobileizado in the companies,Solución SaaS CMMS y EAM para la centralización de inmovilizado en las empresas,review
Tikehau Investment Management (Sucursal en España),Fray Luis de León,Residential building in central Madrid,Edificio residencial en el centro de Madrid,ok
EQT Partners Spain,Freepik,Technology,Technology,ok
Adara Ventures,Freeverse,Digital assets infrastructure,Digital assets infrastructure,ok
Athos Capital,Froged,Solution digital for the management of tareas of Customer Success,Solución digital para la gestión de tareas de Customer Success,ok
FIT Inversión en Talento,Frontwave Imaging,Digital Health,Digital Health,ok
Tikehau Investment Management (Sucursal en España),Frutas Bollo (The Natural Fruit Company),"Production, procesamiento and commercialization of fruta","Producción, procesamiento y comercialización de fruta",ok
Everwood Capital,Fuente Álamo I & II y Pinilla,Energy,Energy,ok
Fundación Ship2B,Fusió d'Arts,Technology Social/Healthcare (dispositivo for personas sordas),Technology Social / Healthcare (dispositivo para personas sordas),ok
Bullnet Capital,Fyla,Láseres of optical fiber,Láseres de fibra óptica,review
Riverside España Partners,Galvanina,Productora of waters minerales naturales and beverages orgánicas,Productora de aguas minerales naturales y bebidas orgánicas,review
Acurio Ventures,Gamelearn,Platform for the formación corporativa through video games,Plataforma para la formación corporativa a través de videojuegos,review
Ona Capital Privat,Gamoneil Energia,Photovoltaic solar plant,Photovoltaic solar plant,ok
Miura Partners,GasN2,Referente in equipos of generación of gas and frío industrial,Referente en equipos de generación de gas y frío industryl,review
Riverside España Partners,Gastromatic,Proveedor of software of management of fuerza laboral,Proveedor de software de gestión de fuerza laboral,ok
True Global Ventures,GCEX,Fintech,Fintech,ok
Clave Mayor,Genbioma Aplicaciones S.L.,Investigación and development experimental in biotechnology,Investigación y desarrollo experimental en biotechnology,review
Renertia Investment Company,"Generación Canaria, S.L.",Photovoltaic power generation,Photovoltaic power generation,ok
Renertia Investment Company,"Generación Renovable Guadalajara, S.L.",Photovoltaic power generation,Photovoltaic power generation,ok
K Fund,Genesy,Technology,Technology,ok
Athos Capital,Genially,Platform for crear content interactivos,Plataforma para crear contenidos interactivos,ok
Unigrains,Genuine Coconut,Snacks and beverages,Snacks y bebidas,ok
Samaipata,Geomiq,Technology platform,Technology platform,ok
ACON Investments,Germaine de Capuccini,Cosmetics profesional,Cosmética profesional,ok
Artá capital,Gesdocument,Services of externalización for companies,Services de externalización para empresas,review
Ardian Spain,Gessine,Energy Efficiency,Energy Efficiency,ok
GPF Capital,Gestair,Aviación ejecutiva,Aviación ejecutiva,review
Sociedad Regional de Promoción del Principado de asturias (SRP),"Gestión e Innovación en Eficiencia Energética, S.L. (GESINNE)",Development of energy-efficiency systems,Desarrollo de sistemas de eficiencia energética,ok
Riverside España Partners,GFOS,Proveedor of software for workforce management,Proveedor de software para workforce management,ok
GAEA Inversión,Gigas,Operador of telecommunications enfocado in the mercado companyrial,Operador de telecommunications enfocado en el mercado empresarial,ok
EDP Ventures España|HCapital,Glartek,SaaS for maintenance industrial,SaaS para maintenance industryl,ok
Alter Capital Desarrollo,Global Coffee Industries SA,Productor of café,Productor de café,review
Sociedad Regional de Promoción del Principado de asturias (SRP),Global SMM 2009 S.L.,Manufacturing of beverages with base of water mineral natural,Manufacturing de bebidas con base de agua mineral natural,ok
Miura Partners,Gloval,Services of valoración and consultoría of activos real estates,Services de valoración y consultoría de activos inmobiliarios,review
Diana Capital,Gocco,Fashion infantil,Moda infantil,ok
Institut Catalá  de Finances Capital (ICF),Goin,TIC - Fintech,TIC - Fintech,ok
Athos Capital,GoKoan,Herramienta digital for the prepair of oposiciones públicas,Herramienta digital para la preparación de oposiciones públicas,review
GPF Capital,Golderos,Refrigeradores and dispensadores,Refrigeradores y dispensadores,ok
D’ella capital,Grabalfa,Services of Pre-Impresión for Packaging,Services de Pre-Impresión para Packaging,review
Asabys Partners,Gradient Denervation,Development of an ablation catheter to treat pulmonary hypertension,Desarrollo catéter de ablación para el tratar la hipertensión pulmonar,ok
Suma Capital,Grand Voyage,Tour operador and agencia of travel online,Tour operador y agencia de viajes online,ok
Swanlaab Venture Factory,Granular Products,Herbicides for precision application,Herbicides for precision application,ok
EDP Ventures España,Green Li-ion,Technology limpia que rejuvenece the baterías of iones of litio,Technology limpia que rejuvenece las baterías de iones de litio,review
Innova Venture,Greenpower Technologies,Ingeniería and consultoría of the sector of the energys renewables,Ingeniería y consultoría del sector de las energys renewables,review
K Fund,Growpro,Platform for trabajar and estudiar in the extranjero,Plataforma para trabajar y estudiar en el extranjero,ok
Corpfin Capital,Grúas Fuentes,Roadside assistance,Asistencia en carretera,ok
Institut Catalá  de Finances Capital (ICF),Grup Boix,Industrial - Materias Primas,Industryl - Materias Primas,ok
Ares Management,Grupo Aire,TMT,TMT,ok
Espiga Equity Partners,Grupo Algaher,Design and manufacturing of sealing rubber gaskets and profiles,Diseño y manufacturing de juntas y perfiles de caucho de estanqueidad,ok
Aurica Capital Desarrollo,Grupo Alquiler Seguro,Management rentales,Gestión Alquileres,ok
Meridia,Grupo Andilana,Operador of a chain leader of restaurants and hotels in Spain,Operador de una cadena leader de restaurantes y hotels en Spain,ok
Aurica Capital Desarrollo,Grupo Babel,Consultoría IT,Consultoría IT,review
Corpfin Capital,Grupo Barna,Productor of harinas and aceites of pescado,Productor de harinas y aceites de pescado,ok
Gestión de Capital Riesgo del País Vasco,Grupo Brinean,Piezas for the sector of the automotive,Piezas para el sector de la automotive,ok
Xesgalicia,Grupo Castrosua,Bus-body manufacturer,Empresa carrocera de autobuses,ok
Xesgalicia,"Grupo Empresarial Copo, S.A.",Production and commercialization of espumas for the sector of the automobile,Producción y comercialización de espumas para el sector del automóvil,ok
Suma Capital,Grupo Go,Digital talent representation agency,Agencia de representación de talentos digitales,ok
Alantra Private Equity,Grupo Ingenium,Proveedor of services IT/Telco of infrastructure,Proveedor de services IT/Telco de infrastructure,ok
Sociedad de Desarrollo de Navarra (SODENA),Grupo Jofemar,Operadora of service and solutions integrales of venta automotizada “vending”,Operadora de service y soluciones integrales de venta automotizada “vending”,review
GPF Capital,Grupo La Flauta,Restaurants,Restaurants,ok
Aurica Capital Desarrollo,Grupo Larrumba,Restaurants,Restaurants,ok
Corpfin Capital,Grupo Marjal,Campings & Resorts,Campings & Resorts,ok
Vigo Activo,Grupo Marsan Sociedad de Cartera,Estampación of piezas metálicas and treatment antioxidante of materials,Estampación de piezas metálicas y tratamiento antioxidante de materiales,review
Xesgalicia,"Grupo Matrigalsa, S.L.",Design and manufacturing of steel molds,Diseño y manufacturing de moldes de acero,ok
Proa Capital de Inversiones,Grupo Neoelectra,Management of activos of cogeneración and biomasa,Gestión de activos de cogeneración y biomasa,review
